LOCATIONID,LATITUDE,LONGITUDE,TOWN,DISPLAYNAME,WEEKDAY,HOUR,CONNECTOR_TYPES,MIN_MAXELECTRIC_POWER_W,MAX_MAXELECTRIC_POWER_W,NR_CONNECTORS,TOTAL_DURATION,AVG_DURATION,CHARGING_CAPACITY,CHARGING_CAPACITY_2,CHARGE_PERCENTAGE,parking,charging_station,fast_food,cafe,toilets,restaurant,convenience,playground,park,community_centre,bar,pub,supermarket,sports_centre,hotel,museum,theatre,hospital,library,zoo,cinema,bakery,motorway,trunk,primary,secondary,TOWN_NR,COUNTRY,AVG_ICOME,COST_OF_LIVING,NET_INCOME,CARS_PER_100,EV_RATE,POPULATION,POP_DENSITY,AGE_20,AGE_40,AGE_60,AGE_80,AGE_100,AVG_TRAFFIC_DUR
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,3,15,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,19755.64,1646.3033333333333,37440,720,0.5277,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",557.375
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,1,19,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,19058.120000000003,1588.1766666666667,37440,720,0.509,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",460.0
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,4,1,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,1811.2,150.9333333333333,37440,720,0.0484,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",443.0
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,4,3,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,2220.24,185.02,37440,720,0.0593,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",438.5
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,4,6,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CHAdeMO]",50000,300000,12,13022.89,1085.2408333333333,37440,720,0.3478,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",488.25
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,5,0,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,4237.429999999999,353.1191666666666,37440,720,0.1132,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",473.5
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,5,5,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,5363.139999999999,446.9283333333333,37440,720,0.1432,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",477.625
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,2,15,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,20797.589999999997,1733.1324999999997,37440,720,0.5555,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",562.75
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,3,16,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,24070.24,2005.8533333333332,37440,720,0.6429,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",580.25
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,4,23,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,7230.11,602.5091666666667,37440,720,0.1931,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",470.875
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,4,2,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,2054.04,171.17000000000002,37440,720,0.0549,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",449.75
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,6,12,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,24366.150000000005,2030.5125000000005,38160,720,0.6385,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",501.75
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,3,20,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,15243.12,1270.2599999999998,37440,720,0.4071,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",443.875
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,5,12,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,28971.74,2414.3116666666665,37440,720,0.7738,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",516.625
