LOCATIONID,LATITUDE,LONGITUDE,CITY,DISPLAYNAME,WEEKDAY,HOUR,CONNECTOR_TYPES,MIN_MAXELECTRIC_POWER_W,MAX_MAXELECTRIC_POWER_W,NR_CONNECTORS,TOTAL_DURATION,AVG_DURATION,CHARGING_CAPACITY,CHARGING_CAPACITY_2,CHARGE_PERCENTAGE
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Thursday,13,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,26819.61,2234.9674999999997,37440,720,0.7163
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Friday,22,"[CCS Type 2,CHAdeMO,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,11359.060000000001,946.58833333333337,37440,720,0.3034
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Monday,18,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO]",50000,300000,12,20020.88,1668.4066666666668,37440,720,0.5347
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Friday,21,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO]",50000,300000,12,13513.220000000001,1126.1016666666667,37440,720,0.3609
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Sunday,13,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,23728.5,1977.375,38160,720,0.6218
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Monday,06,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,10810.3,900.85833333333312,37440,720,0.2887
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Tuesday,23,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,4028.9799999999996,335.74833333333328,37440,720,0.1076
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Thursday,22,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,7738.0199999999995,644.835,37440,720,0.2067
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Sunday,07,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,6126.79,510.56583333333344,38160,720,0.1606
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Wednesday,09,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,38030.72,3169.2266666666669,37440,720,1.0158
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Monday,17,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,22807.61,1900.6341666666665,37440,720,0.6092
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Saturday,08,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,15518.030000000002,1293.1691666666668,37440,720,0.4145
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Tuesday,14,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,21355.949999999997,1779.6625,37440,720,0.5704
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Wednesday,18,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,23872.019999999997,1989.335,37440,720,0.6376
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Friday,09,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,33596.389999999992,2799.6991666666663,37440,720,0.8973
